variables,VIF
at,141.20987930869617
ceq,23.727167408234486
che,5.1820927619015995
cogs,26.87996506395056
csho,3.0494900511196676
dlc,3.694360574399497
dltt,21.182583521383876
dp,7.642501830818741
ib,55.00013994836825
invt,3.9445132598214014
ivao,1.9660591417690465
ivst,2.382005649546985
lct,23.085224046229357
lt,102.66761806129205
ni,51.95355992878011
pstk,1.1326518904507323
re,3.809367058305497
rect,6.585327042226026
sale,52.082593470186694
txc,5.049060422972612
txp,2.0588513911389383
xint,11.617103119496944
prcc_f,1.3482899952875909
